threshold,hidden,target,MRE,k
0.30000000000000004,40,1,0.2625498021256105,10
0.30000000000000004,40,2,0.810329624013917,7
0.30000000000000004,40,3,0.03314528932816626,5
0.30000000000000004,50,0,0.7503035679608512,7
0.30000000000000004,50,1,0.2591229552951376,10
0.30000000000000004,50,2,1.1287983130494008,7
0.30000000000000004,50,3,0.035411425561407216,5
0.30000000000000004,60,0,0.4998878760335321,7
0.30000000000000004,60,1,0.2836253768109255,10
0.30000000000000004,60,2,0.5549912343876984,7
0.30000000000000004,60,3,0.028306739572848454,5
0.30000000000000004,70,0,0.4710698772374857,7
0.30000000000000004,70,1,0.47263775889277415,10
0.30000000000000004,70,2,0.5086774382803515,7
0.30000000000000004,70,3,0.01100621139015004,5
0.30000000000000004,80,0,0.5520465446031126,7
0.30000000000000004,80,1,0.395001390451997,10
0.30000000000000004,80,2,0.5501240692980907,7
0.30000000000000004,80,3,0.03516750726781719,5
0.30000000000000004,90,0,0.503000396880474,7
0.30000000000000004,90,1,0.6140682179124048,10
0.30000000000000004,90,2,0.5833845358297841,7
0.30000000000000004,90,3,0.012528731627957092,5
0.30000000000000004,100,0,0.577520591565599,7
0.30000000000000004,100,1,0.28758314285199005,10
0.30000000000000004,100,2,0.5789551291042572,7
0.30000000000000004,100,3,0.012955851492915327,5
0.30000000000000004,110,0,0.582984621131769,7
0.30000000000000004,110,1,0.7944745929384098,10
0.30000000000000004,110,2,0.710938517878157,7
0.30000000000000004,110,3,0.013755417544128975,5
0.30000000000000004,120,0,0.6712267300112733,7
0.30000000000000004,120,1,0.2938437537084753,10
0.30000000000000004,120,2,0.5454077678463654,7
0.30000000000000004,120,3,0.022722764610522164,5
0.30000000000000004,130,0,0.5447421156480365,7
0.30000000000000004,130,1,0.4674781461880229,10
0.30000000000000004,130,2,0.6646046327929799,7
0.30000000000000004,130,3,0.014298667359851754,5
0.30000000000000004,140,0,0.5092950196281207,7
0.30000000000000004,140,1,0.361373989671408,10
0.30000000000000004,140,2,0.5168684756749772,7
0.30000000000000004,140,3,0.014771319577236966,5
0.30000000000000004,150,0,0.5067220797010259,7
0.30000000000000004,150,1,0.25952313440723745,10
0.30000000000000004,150,2,1.2098584964760617,7
0.30000000000000004,150,3,0.01326874984834564,5
0.30000000000000004,160,0,0.5286027150510441,7
0.30000000000000004,160,1,0.24756105144010548,10
0.30000000000000004,160,2,0.6398956269746511,7
0.30000000000000004,160,3,0.02474521605110098,5
0.30000000000000004,170,0,0.5579195274744481,7
0.30000000000000004,170,1,0.3457466311764217,10
0.30000000000000004,170,2,0.706000782423821,7
0.30000000000000004,170,3,0.029348941343455368,5
0.30000000000000004,180,0,0.8228455209387068,7
0.30000000000000004,180,1,0.38160910137625115,10
0.30000000000000004,180,2,0.6796875579479421,7
0.30000000000000004,180,3,0.02202788279149188,5
0.30000000000000004,190,0,0.5864202022669374,7
0.30000000000000004,190,1,0.39375390108444136,10
0.30000000000000004,190,2,0.8390514920701523,7
0.30000000000000004,190,3,0.03958559966585821,5
0.30000000000000004,200,0,0.49176082752561223,7
0.30000000000000004,200,1,0.2615553719136301,10
0.30000000000000004,200,2,0.9020448655801868,7
0.30000000000000004,200,3,0.030448803460185886,5
0.4,10,0,0.6506333864895029,6
0.4,10,1,1.165681296045413,6
0.4,10,2,0.681620133533287,6
0.4,10,3,0.0270944710270049,5
0.4,20,0,0.6347355059811673,6
0.4,20,1,1.2517645338439813,6
0.4,20,2,0.6142764593702403,6
0.4,20,3,0.015605713361244717,5
0.4,30,0,0.6227535253129977,6
